Route,Cost,Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Victoria Street West']",708.6275,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown Grey Lynn']",632.175,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown Grey Lynn Central']",704.89,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown Lynfield']",660.3025,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown Mt Eden']",645.425,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown Mt Roskill']",653.30875,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown Newmarket']",630.68,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown Onehunga']",582.2725,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown Ponsonby']",647.26875,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown Pt Chevalier']",675.620625,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown St Lukes']",611.8199999999999,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown Three Kings']",598.933125,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown Victoria Street West']",653.860625,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Grey Lynn Central']",631.5825,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Lynfield']",613.513125,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Mt Eden']",618.9675,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Mt Roskill']",620.6387500000001,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Newmarket']",617.181875,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Onehunga']",590.3975,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Ponsonby']",582.300625,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Pt Chevalier']",621.26875,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown St Lukes']",558.980625,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Three Kings']",606.1637499999999,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Victoria Street West']",615.42625,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown Lynfield']",695.4143750000001,Central Region
