Route,Cost,Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Onehunga']",1030.997013888889,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Pt Chevalier']",1116.74125,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown St Lukes']",1068.5895138888889,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Metro Albert Street']",1050.755763888889,Central Region
"['Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Metro Halsey Street']",1018.2079861111112,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown Mt Eden']",1035.7277777777779,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown Newmarket']",1052.0811111111109,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown Onehunga']",992.916388888889,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown St Lukes']",1063.405,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown Metro Albert Street']",989.4292361111112,Central Region
"['Countdown Auckland City', 'Countdown Greenlane', 'Countdown Metro Halsey Street']",965.3797222222222,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Mt Eden']",1037.7658333333334,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Newmarket']",1069.958402777778,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Onehunga']",1037.2219444444445,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown St Lukes']",1033.1985416666666,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Metro Albert Street']",967.8990277777777,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Metro Halsey Street']",925.9179861111112,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown Mt Eden']",1031.0466666666666,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown Newmarket']",1074.356875,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown Onehunga']",1034.1984722222223,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown St Lukes']",1026.478611111111,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown Metro Albert Street']",986.5050694444444,Central Region
"['Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown Metro Halsey Street']",953.6265277777778,Central Region
"['Countdown Auckland City', 'Countdown Lynfield', 'Countdown Mt Eden']",1113.8865972222225,Central Region
"['Countdown Auckland City', 'Countdown Lynfield', 'Countdown Newmarket']",1163.5661111111112,Central Region
"['Countdown Auckland City', 'Countdown Lynfield', 'Countdown Onehunga']",1044.802013888889,Central Region
"['Countdown Auckland City', 'Countdown Lynfield', 'Countdown St Lukes']",1093.5480555555557,Central Region
"['Countdown Auckland City', 'Countdown Lynfield', 'Countdown Metro Albert Street']",1075.7135416666665,Central Region
"['Countdown Auckland City', 'Countdown Lynfield', 'Countdown Metro Halsey Street']",1043.165763888889,Central Region
