Route,Cost
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Onehunga', 'Distribution Centre Auckland')",577.49125
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Ponsonby', 'Distribution Centre Auckland')",690.64625
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",637.1443750000001
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown St Lukes', 'Distribution Centre Auckland')",579.805
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Three Kings', 'Distribution Centre Auckland')",653.56125
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",737.056875
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",589.0625
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",569.385625
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Newmarket', 'Distribution Centre Auckland')",651.99625
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Onehunga', 'Distribution Centre Auckland')",601.035
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Ponsonby', 'Distribution Centre Auckland')",754.620625
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",679.086875
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown St Lukes', 'Distribution Centre Auckland')",621.314375
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Three Kings', 'Distribution Centre Auckland')",685.97875
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",817.389375
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",653.9825000000001
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",627.3525
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Onehunga', 'Distribution Centre Auckland')",582.8525
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Ponsonby', 'Distribution Centre Auckland')",677.3087499999999
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",621.285625
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown St Lukes', 'Distribution Centre Auckland')",585.61
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Three Kings', 'Distribution Centre Auckland')",638.306875
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",712.02625
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",553.21
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",533.533125
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown Ponsonby', 'Distribution Centre Auckland')",709.673125
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",643.44875
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown St Lukes', 'Distribution Centre Auckland')",589.885
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown Three Kings', 'Distribution Centre Auckland')",613.1168749999999
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",761.0525
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",578.9449999999999
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",559.268125
"('Distribution Centre Auckland', 'Countdown Ponsonby', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",726.996875
"('Distribution Centre Auckland', 'Countdown Ponsonby', 'Countdown St Lukes', 'Distribution Centre Auckland')",687.2674999999999
"('Distribution Centre Auckland', 'Countdown Ponsonby', 'Countdown Three Kings', 'Distribution Centre Auckland')",777.225625
"('Distribution Centre Auckland', 'Countdown Ponsonby', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",823.565625
"('Distribution Centre Auckland', 'Countdown Ponsonby', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",660.72875
"('Distribution Centre Auckland', 'Countdown Ponsonby', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",640.774375
"('Distribution Centre Auckland', 'Countdown Pt Chevalier', 'Countdown St Lukes', 'Distribution Centre Auckland')",627.9025
"('Distribution Centre Auckland', 'Countdown Pt Chevalier', 'Countdown Three Kings', 'Distribution Centre Auckland')",727.5
"('Distribution Centre Auckland', 'Countdown Pt Chevalier', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",788.84125
"('Distribution Centre Auckland', 'Countdown Pt Chevalier', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",625.435
"('Distribution Centre Auckland', 'Countdown Pt Chevalier', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",598.804375
"('Distribution Centre Auckland', 'Countdown St Lukes', 'Countdown Three Kings', 'Distribution Centre Auckland')",650.753125
"('Distribution Centre Auckland', 'Countdown St Lukes', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",750.0743749999999
"('Distribution Centre Auckland', 'Countdown St Lukes', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",595.221875
"('Distribution Centre Auckland', 'Countdown St Lukes', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",568.5918750000001
"('Distribution Centre Auckland', 'Countdown Three Kings', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",818.910625
"('Distribution Centre Auckland', 'Countdown Three Kings', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",660.094375
"('Distribution Centre Auckland', 'Countdown Three Kings', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",640.4175
"('Distribution Centre Auckland', 'Countdown Victoria Street West', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",687.9206250000001
"('Distribution Centre Auckland', 'Countdown Victoria Street West', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",666.3568750000001
"('Distribution Centre Auckland', 'Countdown Metro Albert Street', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",495.70187500000003
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Greenlane', 'Distribution Centre Auckland')",1100.4284027777778
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Distribution Centre Auckland')",1162.7342361111112
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",1067.8798611111108
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Lynfield', 'Distribution Centre Auckland')",1020.1085416666668
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Distribution Centre Auckland')",1024.6704861111111
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",1042.6883333333333
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Newmarket', 'Distribution Centre Auckland')",1035.4825694444444
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Onehunga', 'Distribution Centre Auckland')",962.247013888889
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Ponsonby', 'Distribution Centre Auckland')",1153.303263888889
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",1047.99125
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown St Lukes', 'Distribution Centre Auckland')",999.8395138888889
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Three Kings', 'Distribution Centre Auckland')",1084.6418749999998
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",1016.380763888889
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",983.8329861111112
