Route,Cost
"('Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",372.51062500000006
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Newmarket', 'Distribution Centre Auckland')",342.62125000000003
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Onehunga', 'Distribution Centre Auckland')",263.53499999999997
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Ponsonby', 'Distribution Centre Auckland')",332.74562499999996
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",313.461875
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown St Lukes', 'Distribution Centre Auckland')",283.814375
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Three Kings', 'Distribution Centre Auckland')",264.10375
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",367.38937500000003
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",372.7325
"('Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",374.2275
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Onehunga', 'Distribution Centre Auckland')",329.72749999999996
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Ponsonby', 'Distribution Centre Auckland')",339.80875
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",340.035625
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown St Lukes', 'Distribution Centre Auckland')",332.485
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Three Kings', 'Distribution Centre Auckland')",300.806875
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",346.40125
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",356.335
"('Distribution Centre Auckland', 'Countdown Newmarket', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",364.783125
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown Ponsonby', 'Distribution Centre Auckland')",344.04812499999997
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",334.07375
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown St Lukes', 'Distribution Centre Auckland')",308.635
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown Three Kings', 'Distribution Centre Auckland')",247.491875
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",367.3025
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",353.945
"('Distribution Centre Auckland', 'Countdown Onehunga', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",362.393125
"('Distribution Centre Auckland', 'Countdown Ponsonby', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",333.246875
"('Distribution Centre Auckland', 'Countdown Ponsonby', 'Countdown St Lukes', 'Distribution Centre Auckland')",321.6425
"('Distribution Centre Auckland', 'Countdown Ponsonby', 'Countdown Three Kings', 'Distribution Centre Auckland')",327.225625
"('Distribution Centre Auckland', 'Countdown Ponsonby', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",345.44062499999995
"('Distribution Centre Auckland', 'Countdown Ponsonby', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",351.35375
"('Distribution Centre Auckland', 'Countdown Ponsonby', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",359.524375
"('Distribution Centre Auckland', 'Countdown Pt Chevalier', 'Countdown St Lukes', 'Distribution Centre Auckland')",318.5275
"('Distribution Centre Auckland', 'Countdown Pt Chevalier', 'Countdown Three Kings', 'Distribution Centre Auckland')",333.75
"('Distribution Centre Auckland', 'Countdown Pt Chevalier', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",366.96625
"('Distribution Centre Auckland', 'Countdown Pt Chevalier', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",372.31
"('Distribution Centre Auckland', 'Countdown Pt Chevalier', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",373.804375
"('Distribution Centre Auckland', 'Countdown St Lukes', 'Countdown Three Kings', 'Distribution Centre Auckland')",285.128125
"('Distribution Centre Auckland', 'Countdown St Lukes', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",356.32437500000003
"('Distribution Centre Auckland', 'Countdown St Lukes', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",370.221875
"('Distribution Centre Auckland', 'Countdown St Lukes', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",371.716875
"('Distribution Centre Auckland', 'Countdown Three Kings', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",340.785625
"('Distribution Centre Auckland', 'Countdown Three Kings', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",350.719375
"('Distribution Centre Auckland', 'Countdown Three Kings', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",359.1675
"('Distribution Centre Auckland', 'Countdown Victoria Street West', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",350.42062500000003
"('Distribution Centre Auckland', 'Countdown Victoria Street West', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",356.981875
"('Distribution Centre Auckland', 'Countdown Metro Albert Street', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",355.076875
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Greenlane', 'Distribution Centre Auckland')",529.611875
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Distribution Centre Auckland')",524.339375
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Distribution Centre Auckland')",495.753125
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown St Lukes', 'Distribution Centre Auckland')",475.436875
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",545.220625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",546.7156249999999
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Greenlane', 'Countdown Grey Lynn', 'Distribution Centre Auckland')",463.42499999999995
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Greenlane', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",451.765
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Greenlane', 'Countdown Lynfield', 'Distribution Centre Auckland')",463.42749999999995
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Greenlane', 'Countdown Mt Eden', 'Distribution Centre Auckland')",420.425
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Greenlane', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",428.30875
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Greenlane', 'Countdown Newmarket', 'Distribution Centre Auckland')",433.80499999999995
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Greenlane', 'Countdown Onehunga', 'Distribution Centre Auckland')",385.3975
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Greenlane', 'Countdown Ponsonby', 'Distribution Centre Auckland')",450.39374999999995
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Greenlane', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",450.62062499999996
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Greenlane', 'Countdown St Lukes', 'Distribution Centre Auckland')",443.06999999999994
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Greenlane', 'Countdown Three Kings', 'Distribution Centre Auckland')",402.05812499999996
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Greenlane', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",456.98562499999997
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Greenlane', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",466.919375
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Greenlane', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",475.3675
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",406.58250000000004
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Lynfield', 'Distribution Centre Auckland')",444.763125
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Mt Eden', 'Distribution Centre Auckland')",422.09250000000003
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",423.76375
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Newmarket', 'Distribution Centre Auckland')",448.431875
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Ponsonby', 'Distribution Centre Auckland')",413.55062499999997
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown St Lukes', 'Distribution Centre Auckland')",418.35562500000003
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Three Kings', 'Distribution Centre Auckland')",437.41375
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",446.67625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",449.30375
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",443.080625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown Mt Eden', 'Distribution Centre Auckland')",416.59499999999997
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown St Lukes', 'Distribution Centre Auckland')",412.85749999999996
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",464.52687499999996
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn Central', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",465.75124999999997
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Lynfield', 'Countdown Mt Eden', 'Distribution Centre Auckland')",484.373125
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Lynfield', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",442.08
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Lynfield', 'Countdown Newmarket', 'Distribution Centre Auckland')",525.02
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Lynfield', 'Countdown St Lukes', 'Distribution Centre Auckland')",467.73249999999996
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Lynfield', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",537.515625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Lynfield', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",539.010625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",412.825625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Newmarket', 'Distribution Centre Auckland')",441.326875
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Ponsonby', 'Distribution Centre Auckland')",436.994375
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Eden', 'Countdown St Lukes', 'Distribution Centre Auckland')",410.52812500000005
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Three Kings', 'Distribution Centre Auckland')",399.909375
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",455.28000000000003
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",476.035625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Eden', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",484.48375000000004
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Roskill', 'Countdown Newmarket', 'Distribution Centre Auckland')",495.86187500000005
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Roskill', 'Countdown St Lukes', 'Distribution Centre Auckland')",437.05499999999995
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Roskill', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",525.973125
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Roskill', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",527.468125
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Newmarket', 'Countdown St Lukes', 'Distribution Centre Auckland')",416.4375
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Newmarket', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",440.28749999999997
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Newmarket', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",448.73562499999997
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Onehunga', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",539.06625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Onehunga', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",547.514375
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Ponsonby', 'Countdown St Lukes', 'Distribution Centre Auckland')",401.42499999999995
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Ponsonby', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",431.13624999999996
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Ponsonby', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",439.306875
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Pt Chevalier', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",469.368125
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Pt Chevalier', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",470.8625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown St Lukes', 'Countdown Three Kings', 'Distribution Centre Auckland')",400.074375
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown St Lukes', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",471.27062499999994
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown St Lukes', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",485.168125
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown St Lukes', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",486.663125
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Three Kings', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",499.583125
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Three Kings', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",508.03125
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Victoria Street West', 'Countdown Metro Albert Street', 'Distribution Centre Auckland')",394.84437499999996
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Victoria Street West', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",401.405625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Metro Albert Street', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland')",390.555
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Grey Lynn', 'Distribution Centre Auckland')",477.235625
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",465.575625
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Lynfield', 'Distribution Centre Auckland')",477.23812499999997
